,Word,Frequency
0,tje,1
1,rma,301
2,icue,88
3,hub,21
4,troubleshooting,17
5,flawlessly,5
6,warranty,258
7,recieved,14
8,smoothe,1
9,abysmal,13
10,renders,1
11,worthless,2
12,clowns,2
13,xd,1
14,headset,173
15,disconnecting,3
16,headsets,15
17,trash,24
18,vengeance,31
19,bsod,3
20,stockist,1
21,nh,1
22,ssdwhen,1
23,mouthed,1
24,unhelpful,6
25,plebs,1
26,psu,186
27,whas,1
28,dispach,1
29,froms,1
30,refurbished,46
31,beware,17
32,hdd,6
33,soul,3
34,agonizing,1
35,terse,1
36,uncaring,3
37,deceptive,1
38,negligence,3
39,inv,1
40,rtx,8
41,tdp,1
42,dreadful,3
43,subpar,1
44,dismissiveness,1
45,exchanged,4
46,understatement,2
47,brushing,1
48,crap,19
49,refuses,7
50,uninstalled,2
51,uninstallers,1
52,thee,1
53,looses,3
54,fps,1
55,dissappeared,1
56,abyss,1
57,dominator,8
58,warrenty,3
59,replies,19
60,concidering,1
61,glossed,1
62,gpu,14
63,polarizing,2
64,props,1
65,rgb,118
66,proponent,2
67,unsatisfied,4
68,utmost,1
69,kidding,2
70,lazy,2
71,bea,1
72,brilliant,3
73,sockets,1
74,mislead,2
75,canceled,11
76,bbb,4
77,cpus,1
78,homeoffice,1
79,colorscheme,1
80,absolutly,1
81,overhyped,1
82,bummer,2
83,que,2
84,ique,1
85,corsir,1
86,ranbow,1
87,recognize,1
88,reponsive,1
89,wouldnt,4
90,bios,3
91,cmos,4
92,junkboxes,1
93,substandard,4
94,garbagecan,1
95,warrantee,2
96,capellix,10
97,xti,1
98,radiator,6
99,happend,1
100,dismantled,1
101,loosing,1
102,thaught,1
103,leakage,1
104,xt,7
105,greets,1
106,chipped,1
107,scross,1
108,reciepts,1
109,wherefrom,1
110,rep,34
111,verifying,1
112,vid,2
113,naïve,2
114,sabre,3
115,slipstream,1
116,dongle,12
117,disconnects,3
118,wtfff,1
119,shippingdisastrous,1
120,edit,80
121,uncontrollable,2
122,deliverer,1
123,europeffs,1
124,advisers,1
125,callback,1
126,disconnection,1
127,grayed,1
128,revo,1
129,shockingly,5
130,screenshots,4
131,oxymoron,1
132,bestbuy,4
133,kvm,3
134,llevo,1
135,dias,1
136,sin,1
137,ninguna,1
138,respuesta,1
139,smelled,1
140,harpoon,8
141,cpu,34
142,reinsert,1
143,registers,1
144,distain,1
145,invoice,28
146,pdf,8
147,reputable,7
148,favor,3
149,ddr,23
150,faq,2
151,occasions,4
152,pounds,4
153,appalling,12
154,absoloute,1
155,asus,3
156,tuf,1
157,oc,1
158,nvidia,4
159,sayung,1
160,apologize,10
161,scammers,6
162,corsaire,2
163,malfunctioning,6
164,reciever,9
165,overpriced,8
166,shameful,2
167,peformance,1
168,lian,2
169,airflow,11
170,majorm,1
171,mic,11
172,headphone,4
173,serial,20
174,honor,7
175,legit,2
176,honoring,3
177,thier,3
178,waivered,1
